Symbol,AMZN
AssetType,Common Stock
Name,Amazon.com Inc
Description,"Amazon.com, Inc. is an American multinational technology company which focuses on e-commerce, cloud computing, digital streaming, and artificial intelligence. It is one of the Big Five companies in the U.S. information technology industry, along with Google, Apple, Microsoft, and Facebook. The company has been referred to as one of the most influential economic and cultural forces in the world, as well as the world's most valuable brand."
CIK,1018724
Exchange,NASDAQ
Currency,USD
Country,USA
Sector,CONSUMER CYCLICAL
Industry,INTERNET RETAIL
Address,"410 TERRY AVENUE NORTH, SEATTLE, WA, UNITED STATES, 98109-5210"
OfficialSite,https://www.amazon.com
FiscalYearEnd,December
LatestQuarter,2025-12-31
MarketCapitalization,2808150229000
EBITDA,145730994000
PERatio,36.37
PEGRatio,1.889
BookValue,38.31
DividendPerShare,None
DividendYield,None
EPS,7.18
RevenuePerShareTTM,67.28
ProfitMargin,0.108
OperatingMarginTTM,0.105
ReturnOnAssetsTTM,0.0693
ReturnOnEquityTTM,0.223
RevenueTTM,716923994000
GrossProfitTTM,360509997000
DilutedEPSTTM,7.18
QuarterlyEarningsGrowthYOY,0.05
QuarterlyRevenueGrowthYOY,0.136
AnalystTargetPrice,283.82
AnalystRatingStrongBuy,15
AnalystRatingBuy,50
AnalystRatingHold,4
AnalystRatingSell,0
AnalystRatingStrongSell,0
TrailingPE,36.37
ForwardPE,32.15
PriceToSalesRatioTTM,3.917
PriceToBookRatio,6.83
EVToRevenue,3.959
EVToEBITDA,17.17
Beta,1.383
52WeekHigh,264.5
52WeekLow,178.85
50DayMovingAverage,219.87
200DayMovingAverage,226.6
SharesOutstanding,10754252000
SharesFloat,9756218000
PercentInsiders,8.944
PercentInstitutions,67.037
DividendDate,None
ExDividendDate,None
