Symbol,META
AssetType,Common Stock
Name,Meta Platforms Inc.
Description,"Meta Platforms, Inc. develops products that enable people to connect and share with friends and family through mobile devices, PCs, virtual reality headsets, wearables and home devices around the world. The company is headquartered in Menlo Park, California."
CIK,1326801
Exchange,NASDAQ
Currency,USD
Country,USA
Sector,COMMUNICATION SERVICES
Industry,INTERNET CONTENT & INFORMATION
Address,"1 META WAY, MENLO PARK, CA, UNITED STATES, 94025"
OfficialSite,https://www.meta.com
FiscalYearEnd,December
LatestQuarter,2026-03-31
MarketCapitalization,1605578129000
EBITDA,109308002000
PERatio,22.99
PEGRatio,0.914
BookValue,96.01
DividendPerShare,2.1
DividendYield,0.0033
EPS,27.51
RevenuePerShareTTM,85.21
ProfitMargin,0.328
OperatingMarginTTM,0.406
ReturnOnAssetsTTM,0.164
ReturnOnEquityTTM,0.329
RevenueTTM,214962995000
GrossProfitTTM,176141992000
DilutedEPSTTM,27.51
QuarterlyEarningsGrowthYOY,0.624
QuarterlyRevenueGrowthYOY,0.331
AnalystTargetPrice,826.75
AnalystRatingStrongBuy,9
AnalystRatingBuy,47
AnalystRatingHold,7
AnalystRatingSell,0
AnalystRatingStrongSell,0
TrailingPE,22.99
ForwardPE,20.12
PriceToSalesRatioTTM,7.47
PriceToBookRatio,6.59
EVToRevenue,7.5
EVToEBITDA,14.45
Beta,1.243
52WeekHigh,794.38
52WeekLow,520.26
50DayMovingAverage,618.53
200DayMovingAverage,666.57
SharesOutstanding,2196046000
SharesFloat,2192715000
PercentInsiders,0.103
PercentInstitutions,79.309
DividendDate,2026-03-26
ExDividendDate,2026-03-16
