Symbol,NOK
AssetType,Common Stock
Name,Nokia Corp ADR
Description,"Nokia Corporation offers fixed and mobile network solutions globally. The company is headquartered in Espoo, Finland."
CIK,924613
Exchange,NYSE
Currency,USD
Country,USA
Sector,TECHNOLOGY
Industry,COMMUNICATION EQUIPMENT
Address,"KARAKAARI 7, ESPOO, FINLAND, 02610"
OfficialSite,https://www.nokia.com
FiscalYearEnd,December
LatestQuarter,2026-03-31
MarketCapitalization,82844811000
EBITDA,2537000000
PERatio,92.75
PEGRatio,1.42
BookValue,4.398
DividendPerShare,0.14
DividendYield,0.0092
EPS,0.16
RevenuePerShareTTM,3.657
ProfitMargin,0.0398
OperatingMarginTTM,0.0529
ReturnOnAssetsTTM,0.0276
ReturnOnEquityTTM,0.0372
RevenueTTM,19996000000
GrossProfitTTM,9070000000
DilutedEPSTTM,0.16
QuarterlyEarningsGrowthYOY,-0.408
QuarterlyRevenueGrowthYOY,0.024
AnalystTargetPrice,12.9
AnalystRatingStrongBuy,4
AnalystRatingBuy,4
AnalystRatingHold,2
AnalystRatingSell,1
AnalystRatingStrongSell,0
TrailingPE,92.75
ForwardPE,38.76
PriceToSalesRatioTTM,4.143
PriceToBookRatio,3.367
EVToRevenue,3.372
EVToEBITDA,29.55
Beta,0.765
52WeekHigh,16.62
52WeekLow,3.956
50DayMovingAverage,11.37
200DayMovingAverage,7.46
SharesOutstanding,5582534000
SharesFloat,4441956000
PercentInsiders,2.975
PercentInstitutions,17.513
DividendDate,2026-05-12
ExDividendDate,2026-04-28
