Symbol,NVDA
AssetType,Common Stock
Name,NVIDIA Corporation
Description,"Nvidia Corporation is an American multinational technology company incorporated in Delaware and based in Santa Clara, California. It designs graphics processing units (GPUs) for the gaming and professional markets, as well as system on a chip units (SoCs) for the mobile computing and automotive market."
CIK,1045810
Exchange,NASDAQ
Currency,USD
Country,USA
Sector,TECHNOLOGY
Industry,SEMICONDUCTORS
Address,"2788 SAN TOMAS EXPRESSWAY, SANTA CLARA, CA, UNITED STATES, 95051"
OfficialSite,https://www.nvidia.com
FiscalYearEnd,January
LatestQuarter,2026-01-31
MarketCapitalization,5264706109000
EBITDA,133230002000
PERatio,44.3
PEGRatio,0.77
BookValue,6.47
DividendPerShare,0.04
DividendYield,0.0002
EPS,4.89
RevenuePerShareTTM,8.87
ProfitMargin,0.556
OperatingMarginTTM,0.65
ReturnOnAssetsTTM,0.512
ReturnOnEquityTTM,1.015
RevenueTTM,215938007000
GrossProfitTTM,153462997000
DilutedEPSTTM,4.89
QuarterlyEarningsGrowthYOY,0.956
QuarterlyRevenueGrowthYOY,0.732
AnalystTargetPrice,268.61
AnalystRatingStrongBuy,9
AnalystRatingBuy,48
AnalystRatingHold,2
AnalystRatingSell,1
AnalystRatingStrongSell,0
TrailingPE,44.3
ForwardPE,26.6
PriceToSalesRatioTTM,24.38
PriceToBookRatio,33.46
EVToRevenue,24.14
EVToEBITDA,36.06
Beta,2.335
52WeekHigh,216.83
52WeekLow,104.06
50DayMovingAverage,185.62
200DayMovingAverage,183.11
SharesOutstanding,24300000000
SharesFloat,23321682000
PercentInsiders,4.209
PercentInstitutions,69.673
DividendDate,2026-04-01
ExDividendDate,2026-03-11
